topic,word_id,word,hint,sentence
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,我爱我的家人。
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,她非常爱看书。
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,你爱吃什么？
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,孩子们都爱玩游戏。
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,他爱上了这个城市。
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,老师爱护学生。
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,我们爱和平。
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,我爱学习汉语。
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,这件衣服我很爱。
chinese_hsk_1,ai4,爱,to love; to be fond of; to like,他爱唱歌，也爱跳舞。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,我的最大爱好是阅读。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,他的爱好是摄影，拍了很多漂亮的照片。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,很多年轻人都有听音乐的爱好。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,你的爱好是什么？
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,收集邮票是爷爷的爱好。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,学习新语言是她的一大爱好。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,踢足球是他们共同的爱好。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,她的爱好有很多，比如画画、唱歌和跳舞。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,业余时间，我喜欢把园艺作为我的爱好。
chinese_hsk_1,ai4_hao4,爱好,to like; to be fond of; to take pleasure in; to be keen on,找到一个让你真正有爱好的事情很重要。
chinese_hsk_1,ba1,八,eight; 8,我今年八岁。
chinese_hsk_1,ba1,八,eight; 8,电话号码是13800138000。
chinese_hsk_1,ba1,八,eight; 8,今天是八月八号。
chinese_hsk_1,ba1,八,eight; 8,我有两个八岁的孩子。
chinese_hsk_1,ba1,八,eight; 8,这件衣服的尺码是八。
chinese_hsk_1,ba1,八,eight; 8,他在八楼的办公室。
chinese_hsk_1,ba1,八,eight; 8,我最喜欢的数字是八。
chinese_hsk_1,ba1,八,eight; 8,这个月的第八天是个星期五。
chinese_hsk_1,ba1,八,eight; 8,她有八本书没读。
chinese_hsk_1,ba1,八,eight; 8,我们约在下午八点见面。
chinese_hsk_1,ba4,爸,father,爸，我回来了！
chinese_hsk_1,ba4,爸,father,我和爸一起去公园散步。
chinese_hsk_1,ba4,爸,father,爸做的红烧肉最好吃。
chinese_hsk_1,ba4,爸,father,爸，您身体好吗？
chinese_hsk_1,ba4,爸,father,爸教我骑自行车。
chinese_hsk_1,ba4,爸,father,这是我给爸买的礼物。
chinese_hsk_1,ba4,爸,father,爸，您什么时候方便？
chinese_hsk_1,ba4,爸,father,爸，我考试考得不错。
chinese_hsk_1,ba4,爸,father,爸，我想跟您说个事。
chinese_hsk_1,ba4,爸,father,爸，谢谢您一直以来的支持。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,爸爸，我回来了。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,爸爸喜欢看报纸。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,谁是你的爸爸？
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,我想给爸爸买礼物。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,爸爸教我骑自行车。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,爸爸妈妈都很爱我。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,这个周末我们去看爸爸。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,爸爸，我需要你的帮助。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,爸爸，您辛苦了。
chinese_hsk_1,ba4_ba5,爸爸,(coll.) father; dad,爸爸，我可以出去玩吗？
chinese_hsk_1,bai2,白,surname Bai,白先生是中国有名的画家。
chinese_hsk_1,bai2,白,surname Bai,我认识一个叫白静的女孩。
chinese_hsk_1,bai2,白,surname Bai,白女士今天请我们吃饭。
chinese_hsk_1,bai2,白,surname Bai,这个公司有很多姓白的员工。
chinese_hsk_1,bai2,白,surname Bai,白爷爷讲了一个有趣的故事。
chinese_hsk_1,bai2,白,surname Bai,你知道白教授的联系方式吗？
chinese_hsk_1,bai2,白,surname Bai,白小姐总是很准时。
chinese_hsk_1,bai2,白,surname Bai,白家有很多历史悠久的传统。
chinese_hsk_1,bai2,白,surname Bai,我听说白同学的成绩很好。
chinese_hsk_1,bai2,白,surname Bai,白叔叔在一家外企工作。
chinese_hsk_1,bai2_tian1,白天,daytime,白天的时候，公园里很多人。
chinese_hsk_1,bai2_tian1,白天,daytime,我白天工作，晚上学习。
chinese_hsk_1,bai2_tian1,白天,daytime,太阳白天出来，晚上回家。
chinese_hsk_1,bai2_tian1,白天,daytime,白天很热，我们都在家吹空调。
chinese_hsk_1,bai2_tian1,白天,daytime,她白天忙着准备考试。
chinese_hsk_1,bai2_tian1,白天,daytime,这个商店只在白天营业。
chinese_hsk_1,bai2_tian1,白天,daytime,白天安静，适合读书。
chinese_hsk_1,bai2_tian1,白天,daytime,我们白天去了海边玩。
chinese_hsk_1,bai2_tian1,白天,daytime,白天看不清路，晚上更不用说了。
chinese_hsk_1,bai2_tian1,白天,daytime,孩子白天很活泼，晚上就睡着了。
chinese_hsk_1,bai3,百,surname Bai,百先生，请问您找谁？
chinese_hsk_1,bai3,百,surname Bai,这是百小姐的行李，请您签收。
chinese_hsk_1,bai3,百,surname Bai,百教授的讲座非常精彩。
chinese_hsk_1,bai3,百,surname Bai,我昨天在超市遇到了百阿姨。
chinese_hsk_1,bai3,百,surname Bai,百家的孩子学习都很优秀。
chinese_hsk_1,bai3,百,surname Bai,他是百家公司的总经理。
chinese_hsk_1,bai3,百,surname Bai,百叔叔是一位经验丰富的司机。
chinese_hsk_1,bai3,百,surname Bai,百太太的厨艺真是一绝。
chinese_hsk_1,bai3,百,surname Bai,这幅画是百先生收藏的。
chinese_hsk_1,bai3,百,surname Bai,你认识百家的大儿子吗？
chinese_hsk_1,ban1,班,surname Ban,班先生是我的新邻居。
chinese_hsk_1,ban1,班,surname Ban,班女士的中文说得很好。
chinese_hsk_1,ban1,班,surname Ban,我听说班家有一个聪明的小孩。
chinese_hsk_1,ban1,班,surname Ban,班教授将在下周开始讲课。
chinese_hsk_1,ban1,班,surname Ban,班博士的研究非常有影响力。
chinese_hsk_1,ban1,班,surname Ban,班小姐是一位优秀的翻译。
chinese_hsk_1,ban1,班,surname Ban,班主任告诉我，他叫班建国。
chinese_hsk_1,ban1,班,surname Ban,班先生的办公室在三楼。
chinese_hsk_1,ban1,班,surname Ban,班太太经常参加社区活动。
chinese_hsk_1,ban1,班,surname Ban,班先生家的狗很可爱。
chinese_hsk_1,ban4,半,half,我想吃半个苹果。
chinese_hsk_1,ban4,半,half,他只花了一半的时间就完成了。
chinese_hsk_1,ban4,半,half,这本书我读了半本。
chinese_hsk_1,ban4,半,half,现在是下午三点半。
chinese_hsk_1,ban4,半,half,她给了我一半的帮助。
chinese_hsk_1,ban4,半,half,我们走了半个小时的路。
chinese_hsk_1,ban4,半,half,这个盒子只剩下一半了。
chinese_hsk_1,ban4,半,half,请给我倒半杯水。
chinese_hsk_1,ban4,半,half,我可以理解你一半的心情。
chinese_hsk_1,ban4,半,half,这件衣服打了半折。
chinese_hsk_1,ban4_nian2,半年,half a year,我们计划在半年内完成这个项目。
chinese_hsk_1,ban4_nian2,半年,half a year,他已经在这家公司工作了半年。
chinese_hsk_1,ban4_nian2,半年,half a year,我上个半年考试成绩不太好。
chinese_hsk_1,ban4_nian2,半年,half a year,这本书我读了半年才看完。
chinese_hsk_1,ban4_nian2,半年,half a year,半年不见，你变化真大！
chinese_hsk_1,ban4_nian2,半年,half a year,公司半年报显示盈利增长。
chinese_hsk_1,ban4_nian2,半年,half a year,我们大约每半年回一次家。
chinese_hsk_1,ban4_nian2,半年,half a year,这次旅行持续了整整半年。
chinese_hsk_1,ban4_nian2,半年,half a year,她学中文半年，已经能流利对话了。
chinese_hsk_1,ban4_nian2,半年,half a year,我需要半年时间来适应新工作。
chinese_hsk_1,ban4_tian1,半天,half of the day,我昨天忙了半天，都没时间吃饭。
chinese_hsk_1,ban4_tian1,半天,half of the day,他在那儿站了半天，不知道在想什么。
chinese_hsk_1,ban4_tian1,半天,half of the day,我们等了半天，火车才来。
chinese_hsk_1,ban4_tian1,半天,half of the day,你怎么花了半天的时间才收拾好？
chinese_hsk_1,ban4_tian1,半天,half of the day,这本书太难了，我看了半天也没看懂。
chinese_hsk_1,ban4_tian1,半天,half of the day,别在这里浪费半天时间了，快去做事吧。
chinese_hsk_1,ban4_tian1,半天,half of the day,他一个人在那儿研究了半天。
chinese_hsk_1,ban4_tian1,半天,half of the day,我们讨论了半天，终于达成了协议。
chinese_hsk_1,ban4_tian1,半天,half of the day,今天天气真好，我们可以出去玩半天。
chinese_hsk_1,ban4_tian1,半天,half of the day,我在网上搜了半天，都没找到我要的东西。
chinese_hsk_1,bang1,帮,old variant of 帮,我需要你帮我一个忙。
chinese_hsk_1,bang1,帮,old variant of 帮,谢谢你帮我搬箱子。
chinese_hsk_1,bang1,帮,old variant of 帮,他总是乐于助人，喜欢帮别人。
chinese_hsk_1,bang1,帮,old variant of 帮,请帮我把门关上。
chinese_hsk_1,bang1,帮,old variant of 帮,我们应该互相帮助。
chinese_hsk_1,bang1,帮,old variant of 帮,这件事你帮我保密。
chinese_hsk_1,bang1,帮,old variant of 帮,我可以帮你写作业吗？
chinese_hsk_1,bang1,帮,old variant of 帮,她帮我修理了自行车。
chinese_hsk_1,bang1,帮,old variant of 帮,邻居们都来帮忙救火。
chinese_hsk_1,bang1,帮,old variant of 帮,别担心，我会帮你的。
chinese_hsk_1,bang1_mang2,帮忙,to help,我能帮你什么忙吗？
chinese_hsk_1,bang1_mang2,帮忙,to help,谢谢你的帮忙，我非常感激。
chinese_hsk_1,bang1_mang2,帮忙,to help,这件事太难了，我需要有人帮忙。
chinese_hsk_1,bang1_mang2,帮忙,to help,你能帮我搬一下这个箱子吗？
chinese_hsk_1,bang1_mang2,帮忙,to help,他总是乐于助人，经常主动帮忙。
chinese_hsk_1,bang1_mang2,帮忙,to help,请问，我能在此处寻求一些帮忙吗？
chinese_hsk_1,bang1_mang2,帮忙,to help,如果你遇到困难，随时找我帮忙。
chinese_hsk_1,bang1_mang2,帮忙,to help,邻居们互相帮忙，渡过了难关。
chinese_hsk_1,bang1_mang2,帮忙,to help,他不希望别人帮忙，想自己解决。
chinese_hsk_1,bang1_mang2,帮忙,to help,孩子们在做家务时，常常要大人帮忙。
chinese_hsk_1,bao1,包,surname Bao,包先生是我的新老师。
chinese_hsk_1,bao1,包,surname Bao,我认识一个叫包子的同学。
chinese_hsk_1,bao1,包,surname Bao,包太太做的菜非常好吃。
chinese_hsk_1,bao1,包,surname Bao,包这个姓在中国很常见。
chinese_hsk_1,bao1,包,surname Bao,你认识包奶奶吗？
chinese_hsk_1,bao1,包,surname Bao,我的朋友叫包宇。
chinese_hsk_1,bao1,包,surname Bao,包队的教练非常有经验。
chinese_hsk_1,bao1,包,surname Bao,这是包经理的办公室。
chinese_hsk_1,bao1,包,surname Bao,包小姐的女儿很可爱。
chinese_hsk_1,bao1,包,surname Bao,我爸爸的朋友姓包。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),我想买两个猪肉包子。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),早上吃个热乎乎的包子很舒服。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),妈妈做了很多美味的蔬菜包子。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),这个包子馅儿太少了，我不喜欢。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),你能帮我带一个牛肉包子吗？
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),小孩手里拿着一个肉包子吃得津津有味。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),街角那家店的豆沙包子特别有名。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),我们中午就简单吃点包子吧。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),蒸包子的时候要注意火候。
chinese_hsk_1,bao1_zi5,包子,bao (steamed stuffed bun),这个包子又大又软，真好吃。
chinese_hsk_1,bei1,杯,cup,请给我一杯水。
chinese_hsk_1,bei1,杯,cup,我想点一杯咖啡。
chinese_hsk_1,bei1,杯,cup,他喝了一整杯牛奶。
chinese_hsk_1,bei1,杯,cup,桌子上有一个空的杯子。
chinese_hsk_1,bei1,杯,cup,这是一次性的纸杯。
chinese_hsk_1,bei1,杯,cup,她把茶倒进了一个精美的杯子。
chinese_hsk_1,bei1,杯,cup,比赛结束后，他们举起奖杯庆祝。
chinese_hsk_1,bei1,杯,cup,这家餐厅的啤酒杯很大。
chinese_hsk_1,bei1,杯,cup,我需要一个量杯来测量面粉。
chinese_hsk_1,bei1,杯,cup,别忘了洗你的杯子。
chinese_hsk_1,bei1_zi5,杯子,cup,我需要一个水杯子。
chinese_hsk_1,bei1_zi5,杯子,cup,请给我拿一个干净的杯子。
chinese_hsk_1,bei1_zi5,杯子,cup,这个杯子是妈妈送的礼物。
chinese_hsk_1,bei1_zi5,杯子,cup,桌子上放着三个杯子。
chinese_hsk_1,bei1_zi5,杯子,cup,我把咖啡倒进了杯子。
chinese_hsk_1,bei1_zi5,杯子,cup,这个杯子有点烫，小心点。
chinese_hsk_1,bei1_zi5,杯子,cup,他用一个大杯子喝啤酒。
chinese_hsk_1,bei1_zi5,杯子,cup,我最喜欢这只印有小猫的杯子。
chinese_hsk_1,bei1_zi5,杯子,cup,你可以借我一个杯子吗？
chinese_hsk_1,bei1_zi5,杯子,cup,喝完水后，请把杯子洗干净。
chinese_hsk_1,bei3,北,north,我家在学校的北边。
chinese_hsk_1,bei3,北,north,冬天的时候，北风很大。
chinese_hsk_1,bei3,北,north,他从北方来，说一口北方话。
chinese_hsk_1,bei3,北,north,请问，去北门怎么走？
chinese_hsk_1,bei3,北,north,这幅画描绘了北方的雪景。
chinese_hsk_1,bei3,北,north,我们要去北极探险。
chinese_hsk_1,bei3,北,north,北极熊是北极的标志性动物。
chinese_hsk_1,bei3,北,north,她一直向北走，直到看见大海。
chinese_hsk_1,bei3,北,north,这本书介绍了中国北方的历史。
chinese_hsk_1,bei3,北,north,北斗七星在夜空中非常明亮。
chinese_hsk_1,bei3_bian1,北边,north,房间的北边是我的书桌。
chinese_hsk_1,bei3_bian1,北边,north,你们家北边有一家很大的超市。
chinese_hsk_1,bei3_bian1,北边,north,我们走到公园北边，看到了一个美丽的湖。
chinese_hsk_1,bei3_bian1,北边,north,山的北边通常比较冷。
chinese_hsk_1,bei3_bian1,北边,north,从火车站北边出去，就能看到公交站。
chinese_hsk_1,bei3_bian1,北边,north,学校北边有一条小河。
chinese_hsk_1,bei3_bian1,北边,north,这栋楼的北边是空的，没有什么建筑。
chinese_hsk_1,bei3_bian1,北边,north,北边来的风吹得很冷。
chinese_hsk_1,bei3_bian1,北边,north,请往北边走，第一个路口左转。
chinese_hsk_1,bei3_bian1,北边,north,博物馆北边有一个花园。
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",我想去北京旅游。
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",北京是中国的首都。
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",你以前去过北京吗？
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",我在北京生活了五年。
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",北京有很多名胜古迹。
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",从上海到北京坐火车需要多久？
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",我正在学习中文，希望将来有机会去北京。
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",北京的夏天很热，冬天很冷。
chinese_hsk_1,bei3_jing1,北京,"Beijing, capital of the People's Republic of China",你觉得北京怎么样？
